Fighter,Opponent,Result,Method,Date
Aung La “The Burmese Python” N Sang,Alain Ngalani,WIN,Submission,
Aung La “The Burmese Python” N Sang,Vitaly Bigdash,WIN,Unanimous Decision,
Aung La “The Burmese Python” N Sang,Michal Pasternak,WIN,Unanimous Decision,
Aung La “The Burmese Python” N Sang,Aleksei Butorin,WIN,Submission,
Aung La “The Burmese Python” N Sang,Mohamed Ali,WIN,Submission,
Avatar PK Saenchai,Kendu Irving,WIN,Unanimous Decision,
Avatar PK Saenchai,Abdulla Dayakaev,LOSS,Majority Decision,
Avatar PK Saenchai,Kiamran Nabati,LOSS,Unanimous Decision,
Avatar PK Saenchai,Antar Kacem,WIN,Knockout,
Avatar PK Saenchai,Wang Kaifeng,WIN,Unanimous Decision,
Avatar PK Saenchai,Ferzan Cicek,WIN,Split Decision,
Avatar PK Saenchai,Komawut FA Group,WIN,Unanimous Decision,
Avatar PK Saenchai,Komawut FA Group,LOSS,Split Decision,
Avatar PK Saenchai,Mohammad Siasarani,LOSS,Majority Decision,
Avazbek “Ninzya” Kholmirzaev,Robson de Oliveira,WIN,TKO,
Avazbek “Ninzya” Kholmirzaev,Bolat Zamanbekov,WIN,Submission,
Avazbek “Ninzya” Kholmirzaev,Valmir Galiev,WIN,Submission,
Avazbek “Ninzya” Kholmirzaev,Bektur Zhenishbek Uulu,LOSS,Unanimous Decision,
Avazbek “Ninzya” Kholmirzaev,Changy Kara-Ool,WIN,Submission,
Avazbek “Ninzya” Kholmirzaev,Zaiundin Suleimanov,WIN,TKO,
Avazbek “Ninzya” Kholmirzaev,Leandro Gomes,WIN,Submission,
Avliyohon “Uzbek Boen” Hamidov,Chayan Oorzhak,LOSS,TKO,
Award “The African Venom” Kazimba,Sibsan Nokkhao KorMor11,LOSS,Unanimous Decision,
Ayad Albadr,Banna Hayashi,WIN,Unanimous Decision,
Ayad Albadr,Teeyai PK Saenchai,LOSS,Unanimous Decision,
Ayad Albadr,Elias Ghazali,LOSS,Unanimous Decision,
Ayaka “Zombie” Miura,Ritu Phogat,WIN,Submission,
Ayaka “Zombie” Miura,Macarena Aragon,WIN,Submission,
Ayaka “Zombie” Miura,Itsuki Hirata,WIN,Unanimous Decision,
Ayaka “Zombie” Miura,Meng Bo,WIN,Submission,
Ayaka “Zombie” Miura,Danielle Kelly,LOSS,Unanimous Decision,
Ayaka “Zombie” Miura,Dayane Cardoso,LOSS,TKO,
Ayaka “Zombie” Miura,Xiong Jing Nan,LOSS,Unanimous Decision,
Ayaka “Zombie” Miura,Rayane Bastos,WIN,Submission,
Ayaka “Zombie” Miura,Tiffany Teo,LOSS,TKO,
Ayaka “Zombie” Miura,Maira Mazar,WIN,Submission,
Ayaka “Zombie” Miura,Samara Santos,WIN,Submission,
Ayaka “Zombie” Miura,Laura Balin,WIN,Submission,
“A.J.” Ayideng Jumayi,Mark Abelardo,LOSS,Unanimous Decision,
“A.J.” Ayideng Jumayi,Dae Hwan Kim,LOSS,TKO,
“Tianshan Eagle” Ayijiake Akenbieke,Zhu Kang Jie,LOSS,Unanimous Decision,
“Tianshan Eagle” Ayijiake Akenbieke,Luo Zhou Jiang Cuo,WIN,Unanimous Decision,
Ayoub Bahri,Denis Burmatov,LOSS,Unanimous Decision,
Ayoub El Khadraoui,Kaisei Sato,WIN,TKO,
Azize “The Magician” Hlali,Sangmanee PK Saenchai,LOSS,Unanimous Decision,
Babar “The Flogger” Ali,Chayan Oorzhak,LOSS,Unanimous Decision,
Babar “The Flogger” Ali,Fritz Biagtan,WIN,Unanimous Decision,
Baktygul Kurmanbekova,Faine Mesquita,LOSS,Unanimous Decision,
Bampara Kouyate,Jo Nattawut,WIN,TKO,
Bampara Kouyate,Luke Lessei,WIN,TKO,
Bampara Kouyate,Shakir Al-Tekreeti,LOSS,Unanimous Decision,
Banluelok Sitwatcharachai,Petbanrai Singha Mawynn,WIN,TKO,
Banluelok Sitwatcharachai,Tubtimthong Sor Jor Lekmuangnon,WIN,Knockout,
Banluelok Sitwatcharachai,Nuatoranee Jitmuangnon,WIN,Knockout,
Banma “The Prince” Duoji,Joshua Perreira,Unknown,Unknown,
Banma “The Prince” Duoji,Danial Williams,LOSS,Unanimous Decision,
Banma “The Prince” Duoji,Walter Goncalves,WIN,Unanimous Decision,
Banma “The Prince” Duoji,Dejdamrong Sor Amnuaysirichoke,LOSS,TKO,
Banna Hayashi,Ayad Albadr,LOSS,Unanimous Decision,
Banna Hayashi,Saenchai Nayokwittungsong,WIN,Knockout,
Banpot “The Machine” Lertthaisong,Craig Hutchison,LOSS,Submission,
Baramee Sujeebameekiew,Sibsan Nokkhao KorMor11,LOSS,Knockout,
Baramee Sujeebameekiew,Muangsap Kiatsongrit,WIN,Majority Decision,
Barbara Aguiar,Dokmaipa Fairtex,LOSS,Unanimous Decision,
Bartosz “Cossack” Skrok,Konstantin Marareskul,Unknown,Unknown,
Batman Or Atchariya,Rungsangtawan Sor Parrat,WIN,Knockout,
Batman Or Atchariya,Paidang Kiatsongrit,LOSS,Unanimous Decision,
Batman Or Atchariya,Duangsompong Jitmuangnon,LOSS,Majority Decision,
Batochir Batsaikhan,Fabio Harada,WIN,TKO,
Batradz “Cannibal” Gazzaev,Oumar Kane,LOSS,TKO,
Beckham Bigwinchampiongym,Anton Petrov,WIN,Unanimous Decision,
Bektur Zhenishbek Uulu,Avazbek Kholmirzaev,WIN,Unanimous Decision,
Ben Parker,Lawrence Phillips,LOSS,Knockout,
Ben “Vanilla Thunder” Tynan,Duke Didier,Unknown,Unknown,
Ben “Vanilla Thunder” Tynan,Kang Ji Won,WIN,Submission,
Ben Wilhelm,Ruslan Emilbek Uulu,LOSS,Submission,
Ben Wilhelm,Amarsanaa Tsogookhuu,LOSS,Unanimous Decision,
Bernueng Sor Salacheep,Chathai Bang Saen Fight Club,WIN,Knockout,
Beybulat Isaev,Alex Roberts,WIN,TKO,
Beybulat Isaev,Yuri Farcas,WIN,Unanimous Decision,
Beybulat Isaev,Giannis Stoforidis,LOSS,Knockout,
Beybulat Isaev,Bogdan Stoica,WIN,Unanimous Decision,
Beybulat Isaev,Mihajlo Kecojevic,WIN,Knockout,
Beybulat Isaev,Anderson Silva,LOSS,Knockout,
Bhumjaithai Mor Tor 1,Panthep VK Khaoyai,WIN,TKO,
Bhumjaithai Mor Tor 1,Petpairin Sor Jor Tongprachin,LOSS,Unanimous Decision,
Bi “Killer Bee” Nguyen,Lin Heqin,LOSS,Unanimous Decision,
Bi “Killer Bee” Nguyen,Jenelyn Olsim,LOSS,Unanimous Decision,
Bi “Killer Bee” Nguyen,Ritu Phogat,WIN,Split Decision,
Bi “Killer Bee” Nguyen,Jihin Radzuan,LOSS,Unanimous Decision,
Bi “Killer Bee” Nguyen,Stamp Fairtex,LOSS,Unanimous Decision,
Bi “Killer Bee” Nguyen,Puja Tomar,WIN,Split Decision,
Bi “Killer Bee” Nguyen,Bozhena Antoniyar,LOSS,Split Decision,
Bi “Killer Bee” Nguyen,Dwi Ani Retno Wulan,WIN,TKO,
“Fate Warrior” Bian Ye,Yang Ying Qiang,WIN,Unanimous Decision,
“Fate Warrior” Bian Ye,Wang Mao Lun,WIN,TKO,
Bianca Basilio,Nanami Ichikawa,WIN,Submission,
Bianca Basilio,Tammi Musumeci,LOSS,Unanimous Decision,
Bianca Basilio,Milena Sakumoto,WIN,Submission,
Bibiano “The Flash” Fernandes,Kevin Belingon,WIN,Split Decision,
Bibiano “The Flash” Fernandes,Stephen Loman,LOSS,Unanimous Decision,
Bibiano “The Flash” Fernandes,John Lineker,LOSS,Knockout,
Bibiano “The Flash” Fernandes,Kevin Belingon,WIN,Submission,
Bibiano “The Flash” Fernandes,Kevin Belingon,WIN,Disqualification,
Bibiano “The Flash” Fernandes,Kevin Belingon,LOSS,Split Decision,
Bibiano “The Flash” Fernandes,Martin Nguyen,WIN,Split Decision,
Bibiano “The Flash” Fernandes,Andrew Leone,WIN,Submission,
Bibiano “The Flash” Fernandes,Reece McLaren,WIN,Split Decision,
Bibiano “The Flash” Fernandes,Kevin Belingon,WIN,Submission,
Bibiano “The Flash” Fernandes,Toni Tauru,WIN,Knockout,
Bibiano “The Flash” Fernandes,Soo Chul Kim,WIN,Submission,
Bibiano “The Flash” Fernandes,Masakatsu Ueda,WIN,Unanimous Decision,
Bibiano “The Flash” Fernandes,Dae Hwan Kim,WIN,Unanimous Decision,
Bibiano “The Flash” Fernandes,Koetsu Okazaki,WIN,Unanimous Decision,
Bibiano “The Flash” Fernandes,Gustavo Falciroli,LOSS,Unanimous Decision,
Bilal “Lone Wolf” Hussain,Seiya Matsuda,LOSS,Submission,
Binladin Sangmorakot,Tahaneak Nayokatasala,LOSS,TKO,
Binladin Sangmorakot,Ganchai Jitmuangnon,LOSS,Knockout,
Bismarck Gomes,Ruslan Arslangereev,LOSS,Submission,
Bismarck Gomes,Asylbek Almasbekov,WIN,Submission,
Black Panther,Ali Saldoev,WIN,Knockout,
Black Panther,Suriyanlek Por Yenying,WIN,Unanimous Decision,
Black Panther,Mohammad Sadeghi,WIN,Split Decision,
Black Panther,Tagir Khalilov,LOSS,Knockout,
Blair “The Bomber” Geraghty,Rustam Yunusov,LOSS,Unanimous Decision,
Blake Cooper,Kade Ruotolo,LOSS,Submission,
Blake Cooper,Maurice Abevi,LOSS,TKO,
BM Fairtex,Ikko Ota,LOSS,Knockout,
BM Fairtex,Masatoshi Hirai,WIN,Unanimous Decision,
BM Fairtex,Petnamkhong Mongkolpet,LOSS,Knockout,
Bo Fu Fan,Zhao Jun Chen,WIN,Knockout,
Bobirjon “Prince” Isroilov,Asadula Imangazaliev,LOSS,Knockout,
Bogdan Shumarov,Rungrawee Sitsongpeenong,LOSS,Split Decision,
Bogdan Shumarov,Constantin Rusu,WIN,TKO,
Bogdan Shumarov,Marwen Houli,WIN,Knockout,
Bogdan “Bucharest Bad Boy” Stoica,Beybulat Isaev,LOSS,Unanimous Decision,
Bokang “Little Giant” Masunyane,Sanzhar Zakirov,LOSS,Unanimous Decision,
Bokang “Little Giant” Masunyane,Mansur Malachiev,LOSS,Unanimous Decision,
Bokang “Little Giant” Masunyane,Keito Yamakita,WIN,Unanimous Decision,
Bokang “Little Giant” Masunyane,Hiroba Minowa,WIN,Unanimous Decision,
Bokang “Little Giant” Masunyane,Jarred Brooks,LOSS,Submission,
Bokang “Little Giant” Masunyane,Rene Catalan,WIN,Knockout,
Bokang “Little Giant” Masunyane,Ryuto Sawada,WIN,Unanimous Decision,
Bolat “Nightmare” Zamanbekov,Avazbek Kholmirzaev,LOSS,Submission,
Bolat “Nightmare” Zamanbekov,Valmir Galiev,LOSS,Knockout,
Boonchot Sor Boonmeerit,Longern Sor Sommai,LOSS,Unanimous Decision,
Boonchu Sor Boonmeerit,Apidet FiatPathum,LOSS,Knockout,
Boonlert Sor Boonmeerit,Hakim Bah,LOSS,Knockout,
Brandon “The Truth” Vera,Amir Aliakbari,LOSS,TKO,
Brandon “The Truth” Vera,Arjan Bhullar,LOSS,TKO,
Brandon “The Truth” Vera,Aung La N Sang,LOSS,TKO,
Brandon “The Truth” Vera,Mauro Cerilli,WIN,Knockout,
Brandon “The Truth” Vera,Hideki Sekine,WIN,TKO,
Brandon “The Truth” Vera,Paul Cheng,WIN,Knockout,
Brandon “The Truth” Vera,Igor Subora,WIN,TKO,
Brazil Aekmuangnon,Lekkla BS Muaythai,WIN,Unanimous Decision,
Brazil Aekmuangnon,Singtanawat Nokjeanladkrabang,LOSS,TKO,
Brazil Aekmuangnon,Thway Lin Htet,WIN,Unanimous Decision,
Brazil Aekmuangnon,Takuma Ota,WIN,Split Decision,
Brazil Aekmuangnon,Samanchai Sor Sommai,LOSS,Unanimous Decision,
Brazil Aekmuangnon,Chalie Singha Mawynn,WIN,Unanimous Decision,
Brett “The American Nomad” Pastore,Ivan Podrugin,LOSS,Submission,
Brett “The American Nomad” Pastore,Emran Hafizoglu,WIN,Unanimous Decision,
Brice “The Truck” Delval,Yod-IQ Or Pimolsri,LOSS,Unanimous Decision,
Brice “The Truck” Delval,Muangthai PK Saenchai,LOSS,Split Decision,
Brice “The Truck” Delval,Nong-O Hama,LOSS,Split Decision,
Brooke Farrell,Nat Jaroonsak,LOSS,Knockout,
Bruno “Macaco” Azevedo,Shoya Ishiguro,LOSS,Submission,
Bruno “Macaco” Azevedo,Talekh Gamidov,WIN,Submission,
Bryan Tee,Lehe,LOSS,Knockout,
Buakhiao Por Paoin,Jakub Poslowski,WIN,Knockout,
Buakhiao Por Paoin,Petwichit Singha Mawynn,WIN,Split Decision,
Buakhiao Por Paoin,Petgarfield Jitmuangnon,WIN,Unanimous Decision,
Buakhiao Por Paoin,Raksiam Sor Boonmeerit,WIN,Unanimous Decision,
Buakhiao Por Paoin,Deniz Demirkapu,LOSS,Knockout,
Buakhiao Por Paoin,Paruehatnoi TBM Gym,WIN,Unanimous Decision,
Marcus “Buchecha” Almeida,Amir Aliakbari,WIN,Submission,
Marcus “Buchecha” Almeida,Oumar Kane,LOSS,Unanimous Decision,
Marcus “Buchecha” Almeida,Kirill Grishenko,WIN,Submission,
Marcus “Buchecha” Almeida,Simon Carson,WIN,TKO,
Marcus “Buchecha” Almeida,Kang Ji Won,WIN,Submission,
Marcus “Buchecha” Almeida,Anderson Silva,WIN,Submission,
Burengnong Lukjaoporongtom,Thailandlek Sor Rungsak,LOSS,Unanimous Decision,
Byung Hee “The Lucky Guy” Lim,Kieran Joblin,WIN,TKO,
Cai Xiong Xiong,Mo Hao Xiong,LOSS,Unanimous Decision,
Cai Xiong Xiong,Li Hong Lin,LOSS,Submission,
Cai Xiong Xiong,Tasiken Jumatai,WIN,Unknown,
Cai Xiong Xiong,Li Hong Lin,LOSS,Submission,
Cai Xiong Xiong,Zhao Tian Cheng,WIN,TKO,
Caitlin McEwen,Jenelyn Olsim,WIN,Submission,
“One Punch Man” Capitan Petchyindee,Alaverdi Ramazanov,LOSS,Split Decision,
“One Punch Man” Capitan Petchyindee,Hiroki Akimoto,LOSS,Unanimous Decision,
“One Punch Man” Capitan Petchyindee,Mehdi Zatout,WIN,Unanimous Decision,
“One Punch Man” Capitan Petchyindee,Alaverdi Ramazanov,WIN,Knockout,
“One Punch Man” Capitan Petchyindee,Petchtanong Petchfergus,WIN,Knockout,
Carlo Bumina-ang,Mauro Mastromarini,WIN,TKO,
Carlo Bumina-ang,Song Min Jong,WIN,TKO,
Carlo Bumina-ang,Enkh-Orgil Baatarkhuu,LOSS,Submission,
Carlo Bumina-ang,Chayan Oorzhak,WIN,Submission,
Carlo Bumina-ang,Xie Zhipeng,WIN,Submission,
Carlo Bumina-ang,Ilyas Dursun,WIN,Knockout,
Carlo Bumina-ang,Denis Andreev,WIN,Split Decision,
Carlo Bumina-ang,Reza Saedi,WIN,Knockout,
Carlos Alvarez,Seiya Matsuda,WIN,Submission,
Carlos Alvarez,Mirza Aliev,WIN,TKO,
Carlos Alvarez,Nachyn Sat,LOSS,TKO,
Carlos Alvarez,Title Chai,WIN,Submission,
Carlos Alvarez,Sadegh Ghasemi,WIN,Submission,
Carlos Alvarez,Reza Abasi,WIN,TKO,
Celest Hansen,Moa Carlsson,LOSS,Unanimous Decision,
Celest Hansen,Masami,WIN,Unanimous Decision,
Celest Hansen,Francisca Vera,LOSS,Split Decision,
Celest Hansen,Phetjeeja Lukjaoporongtom,LOSS,TKO,
Celest Hansen,Yu Yau Pui,LOSS,Unanimous Decision,
Celest Hansen,Dani Fall,WIN,Split Decision,
Celest Hansen,Kalaked Por Muangpetch,WIN,TKO,
Cep Holik,Kanta Motoyama,LOSS,Unanimous Decision,
Chabakaew Sor KanJanchai,Gusjung Fairtex,WIN,Knockout,
Chabakaew Sor KanJanchai,Nongam Fairtex,WIN,Split Decision,
Chabakaew Sor KanJanchai,Looknam Kor Khomkleaw,LOSS,Unanimous Decision,
Chabakaew Sor KanJanchai,Rebecca Watford,WIN,Unanimous Decision,
Chai Sor Sor ToiPadriew,Elyes Kacem,LOSS,Knockout,
Chai Sor Sor ToiPadriew,Magnum Sor Sommai,WIN,Knockout,
Chalamdam Sor Boonmeerit,Suesat Manop Gym,LOSS,Knockout,
Chalamdam Sor Boonmeerit,Chokpreecha PK Saenchai,LOSS,Knockout,
Chalamdam Sor Boonmeerit,Pataknin Sinbimuaythai,WIN,TKO,
Chalamdam Sor Boonmeerit,Singtanawat Nokjeanladkrabang,WIN,TKO,
Chalamkhao Jitmuangnon,Yodnumchai Fairtex,LOSS,TKO,
Chalamkhao PK Saenchai,Panthep VK Khaoyai,LOSS,Unanimous Decision,
Chalamkhao PK Saenchai,Kongchai Chanaidonmueang,LOSS,Unanimous Decision,
Chalamkhao PK Saenchai,Pettong Kiatsongrit,WIN,Unanimous Decision,
Chalarm Paranchai,Mohammad Sadeghi,WIN,Majority Decision,
Chalarmdam “King Speed” Nayokatasala,Maisangkum Sor Yingcharoenkarnchang,LOSS,Knockout,
Chalawan Ngorbangkapi,Petpattaya Silkmuaythai,LOSS,Knockout,
Chalawan Ngorbangkapi,Kaoklai Chor Hapayak,WIN,Knockout,
Chalawan Ngorbangkapi,Yodsingdam Keatkhamtorn,LOSS,Knockout,
Chalawan Ngorbangkapi,Kaoklai Chor Hapayak,WIN,Knockout,
Chalawan Ngorbangkapi,Zeta Chor Chokamnuay,LOSS,Knockout,
Chalie Singha Mawynn,Rocky Wor Wantawee,LOSS,Knockout,
Chalie Singha Mawynn,Brazil Aekmuangnon,LOSS,Unanimous Decision,
Chalie Singha Mawynn,Silapet Por Petkaikaew,WIN,Knockout,
Chalongsuk Jacksonmuaythai,Donking Yotharakmuaythai,LOSS,Knockout,
Chama Superbon Training Camp,Superjeng Tded99,WIN,TKO,
Chama Superbon Training Camp,Uzair Ismoiljonov,WIN,Unanimous Decision,
Champangarm Por Pramuk,Yodnumchai Fairtex,LOSS,Knockout,
Chan Rothana,Eko Roni Saputra,LOSS,Submission,
Chan Rothana,Xie Wei,LOSS,TKO,
Chan Rothana,Gustavo Balart,WIN,Unanimous Decision,
Chan Rothana,Rudy Agustian,WIN,TKO,
Chan Rothana,Abro Fernandes,WIN,TKO,
Chan Rothana,Xie Bin,LOSS,Submission,
Chan Rothana,Ma Hao Bin,LOSS,Unanimous Decision,
Chan Rothana,Samang Dun,WIN,TKO,
Chan Rothana,Ramon Gonzales,WIN,TKO,
Chan Rothana,Prak Chansin,WIN,TKO,
Chan Rothana,Samang Dun,LOSS,TKO,
Chanajon PK Saenchai,Denis Burmatov,LOSS,Unanimous Decision,
Chanajon PK Saenchai,Mustafa Al Tekreeti,LOSS,Knockout,
Chanajon PK Saenchai,George Jarvis,WIN,Split Decision,
Chanajon PK Saenchai,Mohamed Hanoun,WIN,Knockout,
Chanajon PK Saenchai,Victor Hugo,WIN,Unanimous Decision,
Chang Ho Lee,Micael De Jesus,WIN,TKO,
Chang Shuai,Yuan Yi,LOSS,Submission,
Chang Shuai,Sun Shu Wei,WIN,Unanimous Decision,
Chang Shuai,Ma Meng Hao,LOSS,Submission,
Changthong M U Den,Wuttikrai Wor Chakrawut,LOSS,Knockout,
Changthong M U Den,Isannuea Tor Tanjaroen,LOSS,Knockout,
Changy “Boyka” Kara-Ool,Eros Baluyot,LOSS,Submission,
Changy “Boyka” Kara-Ool,Avazbek Kholmirzaev,LOSS,Submission,
Changy “Boyka” Kara-Ool,Sanlang Gexi,WIN,Knockout,
Changy “Boyka” Kara-Ool,Arsenio Balisacan,WIN,TKO,
Chaongoh Jitmuangnon,Sulaiman Looksuan,LOSS,Knockout,
Chaongoh Jitmuangnon,An Bunhour,WIN,TKO,
Chartmungkorn Chor Hapayak,Khunponnoi Sor Sommai,LOSS,Knockout,
Chartpayak Saksatoon,Kompet Fairtex,WIN,Knockout,
Chartpayak Saksatoon,Kongchai Chanaidonmueang,WIN,Unanimous Decision,
Chartpayak Saksatoon,Kompet Fairtex,WIN,Majority Decision,
Chartpayak Saksatoon,Petnamngam PK Saenchai,WIN,Knockout,
Chartpayak Saksatoon,Pornsanae Sor Phumipat,WIN,Knockout,
Chartpayak Saksatoon,Mowgli Chor Ajalaboon,WIN,Knockout,
Chartpayak Saksatoon,Dabdam Por Tor Tor Thongtawee,WIN,Knockout,
Chatanan Sor Jor Joyprajin,Aslamjon Ortikov,LOSS,Knockout,
Chatanan Sor Jor Joyprajin,Haodong Jitmuangnon,WIN,Knockout,
Chatanan Sor Jor Joyprajin,Suphachailek Nengsubyai,WIN,TKO,
Chathai Bang Saen Fight Club,Bernueng Sor Salacheep,LOSS,Knockout,
Chathai Bang Saen Fight Club,Petmuangthai Sor Naruemon,WIN,Split Decision,
Chatpet Lampang Sports School,Tun Min Aung,LOSS,TKO,
Chatpichit Sor Sor Toipadriew,Nittikorn JP Power,LOSS,Unanimous Decision,
Chatpichit Sor Sor Toipadriew,Nueaphet Kelasport,WIN,Knockout,
Chatpichit Sor Sor Toipadriew,Khunsuk Mor Krungthepthonburi,WIN,Unanimous Decision,
Chatpichit Sor Sor Toipadriew,Sagaengarm Jitmuangnon,WIN,Unanimous Decision,
Chatpichit Sor Sor Toipadriew,Sakolpat ChotBangsaen,LOSS,Unanimous Decision,
Chatpichit Sor Sor Toipadriew,Sagaengarm Jitmuangnon,WIN,Unanimous Decision,
Chattawee NayokJoyprajin,Petphupa Aekpujean,LOSS,Unanimous Decision,
Chayan Oorzhak,Eubert Gomez,WIN,TKO,
Chayan Oorzhak,Carlo Bumina-ang,LOSS,Submission,
Chayan Oorzhak,Babar Ali,WIN,Unanimous Decision,
Chayan Oorzhak,Andrey Chelbaev,WIN,TKO,
Chayan Oorzhak,Avliyohon Hamidov,WIN,TKO,
Chellina Chirino,Stella Hemetsberger,LOSS,Unanimous Decision,
Chellina Chirino,Natalia Diachkova,LOSS,Knockout,
Chellina Chirino,Yuly Alves,LOSS,Split Decision,
Chen Hao,Xu Hong Xi,WIN,Unanimous Decision,
Chen “Imperial Edict” Jia Yi,Zhao Zhan Shi,WIN,Unanimous Decision,
Chen Jiayi,Nakrob Fairtex,LOSS,TKO,
“The Ghost” Chen Rui,Shinechagtga Zoltsetseg,LOSS,Split Decision,
“The Ghost” Chen Rui,Drex Zamboanga,WIN,Split Decision,
“The Ghost” Chen Rui,Song Min Jong,LOSS,Submission,
“The Ghost” Chen Rui,Mark Abelardo,WIN,Unanimous Decision,
“The Ghost” Chen Rui,Jeremy Pacatiw,LOSS,Unanimous Decision,
“The Ghost” Chen Rui,Kwon Won Il,LOSS,TKO,
“The Ghost” Chen Rui,Ali Motamed,WIN,TKO,
“The Ghost” Chen Rui,Muhammad Aiman,WIN,Unanimous Decision,
“The Ghost” Chen Rui,Troy Worthen,LOSS,TKO,
“The Ghost” Chen Rui,Roman Alvarez,WIN,TKO,
Chihiro Sawada,Meng Bo,LOSS,Unanimous Decision,
Chihiro Sawada,Noelle Grandjean,WIN,Unanimous Decision,
Chihiro Sawada,Jihin Radzuan,WIN,Unanimous Decision,
Chihiro Sawada,Sanaz Fayazmanesh,WIN,Submission,
Chloe “Cupcake” Cooke,Hanna Palmquist,LOSS,Unanimous Decision,
Cho “Hanma Baki” Gyu Jun,Adilet Alimbek Uulu,LOSS,Submission,
Cho “Tyrant” Joon Gun,Moises Lois Ilogon,LOSS,TKO,
Cho “Tyrant” Joon Gun,Ismail Khan,LOSS,Submission,
Choi Jeong Yun,Sovannahry Em,LOSS,TKO,
Choi Jeong Yun,Maira Mazar,LOSS,TKO,
Chokdee Maxjandee,Yoddoi Kaewsamrit,LOSS,Knockout,
Chokdee Maxjandee,Yodnumchai Fairtex,LOSS,Knockout,
Chokdee Maxjandee,Yousif Qadir,WIN,Knockout,
Chokdee Maxjandee,Songchainoi Kiatsongrit,LOSS,Knockout,
Chokdee Maxjandee,Numsurin Chor Ketwina,LOSS,Unanimous Decision,
Chokdee Maxjandee,Dinneurthong Muadphong191,WIN,TKO,
Chokdee Maxjandee,Yoddoi Kaewsamrit,WIN,Unanimous Decision,
Chokpreecha PK Saenchai,Kongchai Chanaidonmueang,LOSS,Knockout,
Chokpreecha PK Saenchai,Chalamdam Sor Boonmeerit,WIN,Knockout,
Chokpreecha PK Saenchai,Kongchai Chanaidonmueang,LOSS,Unanimous Decision,
Chokpreecha PK Saenchai,Abdallah Ondash,WIN,Majority Decision,
Chokpreecha PK Saenchai,Pongsiri Sujeebameekiew,WIN,Knockout,
Chokpreecha PK Saenchai,Suesat Manop Gym,WIN,Unanimous Decision,
Chorfah Tor Sangtiennoi,Eisaku Ogasawara,WIN,Knockout,
Chorfah Tor Sangtiennoi,Pompet PK Saenchai,WIN,Unanimous Decision,
Chorfah Tor Sangtiennoi,Mongkolkaew Sor Sommai,WIN,Knockout,
Chorfah Tor Sangtiennoi,Gingsanglek Wor Kumchamnarn,LOSS,Knockout,
Chorfah Tor Sangtiennoi,Sherzod Kabutov,WIN,Split Decision,
Chorfah Tor Sangtiennoi,Petsukumvit Boi Bangna,LOSS,Unanimous Decision,
Chorfah Tor Sangtiennoi,Tagir Khalilov,LOSS,TKO,
Chris Shaw,Vladimir Kuzmin,LOSS,Unanimous Decision,
Chris Shaw,Rodlek PK Saenchai,LOSS,Unanimous Decision,
Chu Nga Sze,Nongam Fairtex,LOSS,Knockout,
Chusap Sor Salacheep,Sunday Boomdeksean,LOSS,TKO,
Chusap Sor Salacheep,Rak Erawan,LOSS,TKO,
Chusuan Chumaroonfarm,Tomoki Sato,LOSS,Unanimous Decision,
Claire “Chun-Li” Rankine,Hannah Brady,LOSS,Knockout,
Claudia Diaz,Kristy Obst,LOSS,TKO,
Cleber “Clandestino” Sousa,Osamah Almarwai,WIN,Submission,
Cleber “Clandestino” Sousa,Mikey Musumeci,LOSS,Unanimous Decision,
Cody Jerome,Luke Lessei,LOSS,TKO,
Colbey Northcutt,Courtney Martin,WIN,Submission,
Colbey Northcutt,Putri Padmi,WIN,Unanimous Decision,
Cole Abate,Shinya Aoki,WIN,Submission,
Colton “The Monster” Kielbasa,Akihiro Fujisawa,WIN,Submission,
Comeback TK Yutthana,Focus PK Wor Apinya,LOSS,Knockout,
Connor Tymon,Sumit Bhyan,WIN,TKO,
Constantin “Lioncrusher” Rusu,Bogdan Shumarov,LOSS,TKO,
Constantin “Lioncrusher” Rusu,Islam Murtazaev,WIN,Unanimous Decision,
Constantin “Lioncrusher” Rusu,Marouan Toutouh,WIN,Unanimous Decision,
Coopar “Rush” Royal,Kaito Oda,LOSS,Unanimous Decision,
Coopar “Rush” Royal,Komronbek Ortikov,WIN,Submission,
Coopar “Rush” Royal,Ely Fernandez,WIN,Submission,
Copter Sor Sommai,Maemmot Sor Salacheep,LOSS,Knockout,
Copter Sor Sommai,Kiriluang Chor Hapayak,WIN,Unanimous Decision,
Copter Sor Sommai,Takuma Ota,LOSS,Knockout,
Cosmo “Good Boy” Alexandre,Juan Cervantes,WIN,Knockout,
Cosmo “Good Boy” Alexandre,Sage Northcutt,WIN,Knockout,
Cosmo “Good Boy” Alexandre,Nieky Holzken,LOSS,Knockout,
Cosmo “Good Boy” Alexandre,Elliot Compton,WIN,Knockout,
Courtney “No Mercy” Martin,Colbey Northcutt,LOSS,Submission,
Craig “Coco” Coakley,Rambolek Chor Ajalaboon,LOSS,Unanimous Decision,
Craig “Coco” Coakley,Suablack Tor Pran49,LOSS,Knockout,
Craig Hutchison,Vladimir Kuchmistyi,LOSS,Unanimous Decision,
Craig Hutchison,Banpot Lertthaisong,WIN,Submission,
Cristina Morales,Allycia Hellen Rodrigues,LOSS,Unanimous Decision,
Cristina Morales,Anna Jaroonsak,WIN,TKO,
Cristina Morales,Anissa Meksen,LOSS,TKO,
Dabdam Por Tor Tor Thongtawee,Petsansab Sor Jaruwan,LOSS,Unanimous Decision,
