Name,Weight (kg),Height (cm),Country,Age,Team,Sport,Gender,Weight ClassWIN,LOSS,DRAW,W TKO,W Submission,W Disqualification,W Unanimous Decision,W Split Decision,L TKO,L Submission,L Disqualification,L Unanimous Decision,L Split Decision,Total Fights
Ahmad “Lycan” Qais Jasoor,65.8,166.0,Afghanistan,35,Jasoor Fight Club / TGFC Top Team,MMA,Male,Featherweight,1,2,0,0,0,0,0,0,1,1,0,0,0,3
Eazy Anuar,77.1,171.0,Brunei,39,Khalifa Mixed Martial Arts,MMA,NA,Lightweight,2,0,0,0,2,0,0,0,0,0,0,0,0,2
Ahmed “Bosnian Steel” Krnjic,102.06,194.0,Bosnia and Herzegovina,28,UFD Gym,Kickboxing,Male,Heavyweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Ahmed “Wolverine” Mujtaba,77.1,181.0,Pakistan,32,AKA / KAKS,MMA,Male,Lightweight,4,5,0,0,1,1,1,0,1,4,0,0,0,9
“Nomad War God” Ayiken Wusaierbabai,77.1,180.0,China,30,Hebei Wanshi Fight Club,MMA,Male,Lightweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Akari Ogata,73.3,173.0,Japan,34,AACC,MMA,Male,Lightweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Akbar Abdullaev,70.3,177.0,Kyrgyzstan,27,Al Munar Team / Tiger Muay Thai,MMA,Male,Featherweight,4,0,0,3,0,0,0,0,0,0,0,0,0,4
Akif “King” Guluzada,57.9,176.0,Azerbaijan,20,Team Mehdi Zatout,Muay Thai,Male,Flyweight,4,0,0,1,0,0,2,0,0,0,0,0,0,4
Akihiro “Superjap” Fujisawa,59.5,165.0,Japan,45,Stray Cats Fight Team,MMA,Male,Flyweight,3,4,0,1,1,0,0,0,0,3,0,0,0,7
Akito Nakashima,-1,175.0,Japan,18,Oishi Gym,Kickboxing,Male,Out of range,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Akkaradet Guaybangkorlaem,51.8,163.0,Thailand,24,Guaybangkorlaem,Muay Thai,Male,Atomweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Akram “La Pepite” Hamidi,52.16,168.0,Algeria / France,26,Team Valente,Muay Thai,Male,Strawweight,2,2,0,2,0,0,0,0,0,0,0,1,0,4
Akuri Ronda,-1,170.0,Japan,36,Shingikan MMA,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Alan “The Apprentice” Philpott,70.3,170.0,Northern Ireland,32,IMMA / Legends Gym Kensington,MMA,Male,Featherweight,2,2,0,1,0,0,1,0,0,2,0,0,0,4
Alan “Emperador” Yauny,-1,173.0,Argentina,28,Bangtao Muay Thai & MMA,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Alaverdi “Babyface Killer” Ramazanov,65.5,180.0,Russia,30,Team Mehdi Zatout,Kickboxing,Male,Bantamweight,7,6,0,1,0,0,2,1,1,0,0,2,1,13
Alber “Magayver” Da Silva,-1,170.0,Brazil,28,Chiquerim Team / Impakt MMA,Kickboxing,Male,Out of range,0,4,0,0,0,0,0,0,2,1,0,0,0,4
Aleksandra Savicheva,-1,165.0,Russia,27,Global Fight Gym / Raty Team,MMA,Male,Out of range,1,1,0,1,0,0,0,0,0,1,0,0,0,2
Alessandro “The Italian Ferrari” Sara,65.8,179.0,Italy,23,Jitmuangnon Gym,Muay Thai,Male,Featherweight,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Alessio Malatesta,67.7,175.0,Italy,23,Team Malatesta,Muay Thai,Male,Featherweight,3,2,0,1,0,0,0,0,0,0,0,1,0,5
Alex Bublea,-1,181.0,Romania,36,PK Saenchai Muaythaigym,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Alex “The Viking” Roberts,102.06,192.0,Australia,36,The Pit,Muay Thai,Male,Heavyweight,0,2,0,0,0,0,0,0,1,0,0,0,0,2
Alex “Little Rock” Silva,56.7,162.0,Brazil,42,Evolve MMA,MMA,Male,Flyweight,11,9,0,0,9,0,2,0,1,0,0,4,4,20
Alexandr Skvortsov,-1,178.0,Russia,28,PancherNN,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
