Name,Weight (kg),Height (cm),Country,Age,Team,Sport,Gender,Weight ClassWIN,LOSS,DRAW,W TKO,W Submission,W Disqualification,W Unanimous Decision,W Split Decision,L TKO,L Submission,L Disqualification,L Unanimous Decision,L Split Decision,Total Fights
Detrit LooksuanAutomuaythai,-1,180.0,Thailand,22,Looksuan,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Devina Martin,-1,160.0,Australia,27,MauyU,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Diandra Martin,57.2,172.0,Australia,29,MuayU,Muay Thai,Male,Flyweight,1,2,0,0,0,0,1,0,2,0,0,0,0,3
Diego Paez,56.7,170.0,Colombia / United States,31,Classic Fight Team,Muay Thai,Male,Flyweight,1,1,0,0,0,0,0,1,0,0,0,0,1,2
Dieselnoi Liamthanawat,57.2,172.0,Thailand,28,Sor Jor Lekmuangnon,Muay Thai,Male,Flyweight,0,2,0,0,0,0,0,0,0,0,0,2,0,2
“The Assassin” Ding Meng,77.1,187.0,China,30,Daqin Martial Arts MMA Club,MMA,Male,Lightweight,1,1,0,1,0,0,0,0,0,0,0,0,0,2
Dinneurthong Muadphong191,-1,163.0,Thailand,25,TDed99,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Diogo “The King D” Calado,76.8,179.0,Portugal,34,Dinamite Team / Fight Nation,MMA,Male,Lightweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Diogo “Baby Shark” Reis,-1,166.0,Brazil,23,Melqui Galvao,Submission Grappling,Male,Out of range,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Dionatha Santos Tobias,53.2,163.0,Brazil,25,Sor Dechapan,Muay Thai,Male,Strawweight,2,2,0,0,0,0,0,0,0,0,0,1,0,4
Dmitrii “The Silent Assassin” Kovtun,61.23,178.0,Russia,27,RUS Gym / Sitsongpeenong Muay Thai Camp,Muay Thai,Male,Bantamweight,3,1,0,0,0,0,3,0,0,0,0,0,0,4
Dmitriy Babkin,-1,173.0,Russia,26,Raty,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Dmitriy Kireev,-1,180.0,Russia,26,Archangel Michel,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Dmitry “SuperChan” Changelia,-1,171.0,Russia,30,Legion,Kickboxing,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Dmitry Menshikov,76.8,180.0,Russia,27,Empire Club / Kuzbass Muay Thai,Muay Thai,Male,Lightweight,3,1,1,0,0,0,0,0,0,0,0,0,0,5
Dokmaipa PK Saenchai,-1,165.0,Thailand,27,PK Saenchai Muaythaigym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Donking Yotharakmuaythai,59.4,170.0,Thailand,24,Yotharak Muaythai,Muay Thai,Male,Flyweight,4,1,0,0,0,0,1,0,0,0,0,0,0,5
Donny “The Don” Smith,-1,187.0,United Kingdom,17,Tiger Muay Thai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Doraemon,-1,170.0,Thailand,36,Team Mehdi Zatout,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Duangsompong Jitmuangnon,61.0,180.0,Thailand,27,Jitmuangnon Gym,Muay Thai,Male,Flyweight,4,3,0,0,0,0,2,1,0,0,0,1,0,7
Duke “The Duke of Canberra” Didier,105.6,194.0,Australia,36,Progression MMA,MMA,Male,Heavyweight,0,1,1,0,0,0,0,0,0,0,0,0,1,2
Dunk Lukporphrayasua,-1,170.0,Thailand,27,Lukporphrayasua,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Dzhabir Dzhabrailov,70.31,187.0,Turkey,20,Team Amir,MMA,Male,Lightweight,3,0,0,2,0,0,0,0,0,0,0,0,0,3
Dzhokhar Eskiev,61.0,168.0,Uzbekistan,28,T-1 Fight Academy,MMA,Male,Flyweight,1,1,0,1,0,0,0,0,0,0,0,0,1,2
Eddie “Silky Smooth” Abasolo,76.0,178.0,United States,38,The Resistance,Muay Thai,Male,Lightweight,1,4,0,0,0,0,0,0,0,0,0,3,1,5
Edson “Trapdoor Spider” Machavane,60.5,175.0,Mozambique / South Africa,29,Creonte BJJ Gym,MMA,Male,Flyweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Edson “Panico” Marques,76.5,183.0,Brazil,36,Libertas MMA,MMA,Male,Lightweight,2,2,0,1,0,0,1,0,0,0,0,0,0,4
Eduard “Landslide” Folayang,76.5,170.0,Philippines,41,Lions Nation MMA,MMA,Male,Lightweight,13,12,0,1,0,0,10,0,1,4,0,3,2,25
Eduard Saik,76.6,186.0,Russia,25,Archangel Michel,Muay Thai,Male,Lightweight,1,1,0,1,0,0,0,0,0,0,0,1,0,2
Eduardo “Dudu” Freitas,-1,180.0,Brazil,27,Phuket Fight Club,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Edward “The Ferocious” Kelly,70.3,174.0,Philippines,41,Lions Nation MMA,MMA,Male,Featherweight,9,8,0,2,3,1,1,1,3,1,0,2,0,17
Egi Rozten,56.7,170.0,Indonesia,37,IndoGym,MMA,Male,Flyweight,2,4,0,1,0,0,0,0,2,1,0,0,0,6
Egor Bikrev,-1,176.0,Russia,22,City of Fighters / Kuzbass Muay Thai,Muay Thai,Male,Out of range,2,0,0,1,0,0,0,0,0,0,0,0,0,2
Eh Mwi,63.1,168.0,Myanmar [Burma],22,Top One,Muay Thai,Male,Bantamweight,2,3,0,0,0,0,0,0,1,0,0,2,0,5
Eisaku “Speed Actor” Ogasawara,-1,171.0,Japan,29,Crosspoint Kichijoji,Muay Thai,Male,Out of range,2,2,0,0,0,0,0,0,0,0,0,1,0,4
Ekaterina “Barbie” Vandaryeva,56.7,170.0,Belarus,34,Gridin Gym,Muay Thai,Male,Flyweight,1,4,0,0,0,0,1,0,0,0,0,1,1,5
Eko Roni Saputra,61.2,163.0,Indonesia,34,Evolve MMA,MMA,Male,Flyweight,7,4,0,0,6,0,0,0,2,0,0,1,0,11
Elad Suman,77.0,184.0,Ghana / Israel,26,Silapa Thai Gym,Muay Thai,Male,Lightweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Elbrus “The Samurai” Osmanov,-1,173.0,Russia,24,Akhmat Kickboxing / Team Mehdi Zatout,Kickboxing,Male,Out of range,6,1,0,0,0,0,5,0,0,0,0,1,0,7
Elias Ghazali,-1,175.0,Malaysia / United States,22,Rentap Muay Thai Gym,Muay Thai,Male,Out of range,2,1,0,0,0,0,2,0,0,0,0,1,0,3
Elias “The Sniper” Mahmoudi,61.3,178.0,Algeria,27,Mahmoudi Gym,Muay Thai,Male,Bantamweight,4,2,1,1,0,0,2,0,0,0,0,0,0,7
Ellis “El Jefe” Badr Barboza,-1,168.0,United Kingdom,25,Fairtex Training Center,Muay Thai,Male,Out of range,1,1,1,0,0,0,0,1,1,0,0,0,0,3
Elmehdi “The Sniper” El Jamari,-1,170.0,Morocco,27,Ostora Fighters World,Muay Thai,Male,Out of range,1,1,0,0,0,0,0,0,0,0,0,1,0,2
Ely “The Dragon” Fernandez,60.1,165.0,Philippines,30,Index MMA,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Elyes Kacem,58.7,173.0,Algeria,19,Team Nasser K,Muay Thai,Male,Flyweight,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Emilio “The Honey Badger” Urrutia,70.3,173.0,United States,38,Tiger Muay Thai,MMA,Male,Featherweight,2,4,0,0,0,0,1,0,2,1,0,0,0,6
Emily Chong,-1,163.0,Hong Kong SAR China,19,Sor Dechapan,Muay Thai,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Emran “Anaconda” Hafizoglu,76.5,179.0,Turkey,30,Phuket Fight Club,MMA,Male,Lightweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Enkh-Orgil Baatarkhuu,65.5,168.0,Mongolia,36,Team Tungaa,MMA,Male,Bantamweight,6,1,0,1,3,0,2,0,1,0,0,0,0,7
Enriko “The Hurricane” Kehl,69.2,177.0,Germany,33,Trans4mer Mainz,Kickboxing,Male,Featherweight,3,3,0,2,0,0,0,1,1,0,0,2,0,6
Enzo Clarisse,57.2,174.0,France,21,Team Mehdi Zatout,Muay Thai,Male,Flyweight,2,1,0,0,0,0,0,1,0,0,0,1,0,3
Erdem “The Professor” Taha Dincer,-1,177.0,Turkey,24,WMC Lamai Muay Thai Gym,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Erik Hehir,69.5,176.0,Sweden,27,Chanrit Muay Thai,Muay Thai,Male,Featherweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Eros Baluyot,56.6,163.0,Philippines,32,Atos Jiu-Jitsu / Submission Sport Philippines,MMA,Male,Strawweight,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Erzhan Zhanyshbek Uulu,-1,185.0,Kyrgyzstan,21,KROC Sports / Mashrapov Academy,MMA,Male,Out of range,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Estrada “El Presidente” Donga-as,57.3,163.0,Philippines,29,Team Lakay,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ET Wankhongohm MBK,-1,176.0,Thailand,30,TDed99,Muay Thai,Male,Out of range,3,2,0,0,0,0,1,0,1,0,0,0,0,5
Eubert “Speed” Gomez,-1,157.0,Venezuela,22,IS 360 Sport Academy / Toros Fighters,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Ev “ET” Ting,77.1,170.0,Malaysia / New Zealand,35,Auckland MMA,MMA,Male,Lightweight,8,5,0,1,2,0,2,2,1,2,0,1,1,13
Evgenii Antonov,72.6,175.0,Russia,26,bk Grusha / Evolve MMA,MMA,Male,Lightweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Evgenii “The General” Morozov,-1,174.0,Russia,27,STORM Fight Team Tver,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Ezekiel “Kiel” Isidro,-1,167.0,Philippines,22,Submission Sport Philippines,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Fabio Harada,-1,175.0,Brazil / Japan,25,In Fight Japan,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Fabio “Sensational” Reis,65.8,173.0,Portugal,28,Venum Training Camp,Muay Thai,Male,Featherweight,3,4,0,0,0,0,0,0,0,0,0,1,0,7
Fabricio “Hokage” Andrey,-1,165.0,Brazil,25,Melqui Galvao,Submission Grappling,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Face Erawan,-1,166.0,Thailand,28,Erawan,Muay Thai,Male,Out of range,3,1,0,0,0,0,0,0,1,0,0,0,0,4
Fahjarat Sor Dechapan,-1,164.0,Thailand,26,Sor Dechapan,Muay Thai,Male,Out of range,1,2,0,0,0,0,0,0,0,0,0,1,0,3
Fahlan Por Petkhaikaew,-1,162.0,Thailand,31,Por Petkhaikaew,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Fahlikit NayokJoyprajin,-1,167.0,Thailand,18,Petchnumnoi,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Faine Mesquita,-1,163.0,Australia,37,MMAFFT,MMA,Male,Out of range,2,0,0,0,1,0,1,0,0,0,0,0,0,2
Faizan “The Grenade” Khan,61.2,170.0,Pakistan,37,Team Fight Fortress,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Fajar “Macho”,61.2,171.0,Indonesia,30,BSA Martial Arts Center,MMA,Male,Flyweight,1,1,0,1,0,0,0,0,1,0,0,0,0,2
Fan Jia Le,61.2,172.0,China,27,Longyun MMA,MMA,Male,Flyweight,1,1,0,0,1,0,0,0,0,0,0,1,0,2
Farid “Bek” Alibabazade,-1,178.0,Azerbaijan,30,Galaktic Sports,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Felipe “Demolition Man” Lobo,65.2,175.0,Brazil,32,Revolution Muay Thai Phuket,Muay Thai,Male,Bantamweight,4,3,0,1,0,0,1,1,1,0,0,1,0,7
Felipe “The Hero of Saigon” Negochadle,65.0,170.0,Brazil / Vietnam,28,C88 Martial Arts,MMA,Male,Bantamweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Felipe Silva,-1,169.0,Brazil,33,Team Mehdi Zatout,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,1,0,0,0,1
“The Sniper” Feng Xing Li,77.1,175.0,China,30,Fighting Elements Gym Team A,Sanda,Male,Lightweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Fernando “El Toro” Amaya,73.9,182.0,Argentina,25,Dojo Serpiente / Silk Muay Thai,Muay Thai,Male,Lightweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Ferrari Fairtex,65.6,174.0,Thailand,27,0,Muay Thai,Male,Bantamweight,5,3,1,0,0,0,5,0,0,0,0,2,0,9
Ferzan Cicek,-1,175.0,Turkey,29,Venum Training Camp,Muay Thai,Male,Out of range,3,4,0,0,0,0,2,0,0,0,0,1,1,7
Fino Chor Ketwina,-1,170.0,Thailand,18,Chor Ketwina,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Focus PK Wor Apinya,-1,168.0,Thailand,20,PK Saenchai Muaythaigym,Muay Thai,Male,Out of range,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Francisca “Miss Scarface” Vera,50.7,171.0,Chile,25,Kai Muay Free Fighters,Muay Thai,Male,Atomweight,4,3,0,1,0,0,1,2,0,0,0,2,0,7
Francisco “Chico” Lo,80.1,186.0,Brazil,24,Checkmat,Submission Grappling,Male,Welterweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Freddie Haggerty,61.23,170.0,England,20,Knowlesy Academy / Team Underground,Muay Thai,Male,Bantamweight,3,1,0,1,0,0,0,0,0,0,0,1,0,4
Fritz “Kid Tornado” Biagtan,-1,168.0,Philippines,29,Biagtan MMA / T-Rex MMA,MMA,Male,Out of range,3,2,0,1,0,0,1,0,1,0,0,1,0,5
“The Knife” Fu Kang Kang,70.3,175.0,China,27,Sunkin International Fight Club,MMA,Male,Featherweight,2,0,0,1,1,0,0,0,0,0,0,0,0,2
“The Dragon King” Fu Qing Nan,65.8,175.0,China,31,Qiu Jianliang Kickboxing Sports Academy,Kickboxing,Male,Featherweight,4,1,0,0,0,0,2,1,0,0,0,1,0,5
Furkan Karabag,-1,180.0,Turkey,26,WMC Lamai Muaythai,Muay Thai,Male,Out of range,3,2,0,3,0,0,0,0,1,0,0,1,0,5
Fuu,-1,148.0,Japan,20,Ryuseijuku Phantom Dojo,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Fuyuka,51.6,164.0,Japan,19,Team Forest,Kickboxing,Male,Atomweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Gabriel Sousa,61.23,162.0,Brazil,28,0,Submission Grappling,Male,Bantamweight,1,1,0,0,0,0,0,1,0,1,0,0,0,2
Gabriel Souza,-1,183.0,Brazil,28,Fairtex Training Center,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Gabriele Moram,-1,165.0,Brazil,24,Kiatphontip Gym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Gadzhimurad “Tought” Amirzhanov,-1,185.0,Russia,29,Dobrynya,MMA,Male,Out of range,3,1,0,1,1,0,1,0,0,1,0,0,0,4
Gadzhimurad Gasanguseinov,62.5,170.0,Russia / Uzbekistan,30,Raqobat,MMA,Male,Bantamweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Ganchai Jitmuangnon,-1,165.0,Thailand,24,Jitmuangnon Gym,Muay Thai,Male,Out of range,1,2,0,0,0,0,0,0,0,0,0,0,1,3
G'Anijonov Muhlisbek,-1,-1.0,Uzbekistan,18,Team Mehdi Zatout,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Gantogtokh “The Mongol Warrior” Baatarchuluun,61.2,173.0,Mongolia,29,Garuda MMA,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
“Triangle Hunter” Gao Bo,77.1,186.0,China,43,YUAN Jiujitsu,MMA,Male,Lightweight,1,1,0,0,1,0,0,0,0,0,0,0,0,2
Garry “The Lion Killer” Tonon,70.0,178.0,United States,33,Evolve MMA / Team Renzo Gracie,MMA,Male,Featherweight,10,2,0,2,7,0,1,0,0,1,0,0,0,12
Geje “Gravity” Eustaquio,64.0,163.0,Philippines,36,Team Lakay,MMA,Male,Bantamweight,10,8,0,0,0,0,6,2,0,2,0,2,2,18
George “G-Unit” Jarvis,-1,183.0,England,24,Lumpini Crawley,Muay Thai,Male,Out of range,4,1,0,0,0,0,2,1,0,0,0,0,1,5
George Mouzakitis,65.4,180.0,England,26,Petchnoi Gym,Muay Thai,Male,Bantamweight,0,2,0,0,0,0,0,0,0,0,0,1,0,2
Georgy “Tiger” Shahruramazanov,70.3,174.0,Russia,29,Fighting Eagles / Raty Team,MMA,Male,Featherweight,1,1,0,0,0,0,1,0,1,0,0,0,0,2
Germain Kpoghomou,-1,185.0,France / Guinea,25,Mahmoudi Gym / NF Looksuan,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Gianni Grippo,65.77,175.0,United States,33,Bodega Jiu-Jitsu,Submission Grappling,Male,Featherweight,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Gianni Subba,61.2,175.0,Malaysia,32,Bali MMA / Klinch MMA,MMA,Male,Flyweight,8,3,0,1,1,0,3,1,0,1,0,2,0,11
Gianny “The Lion of Flanders” De Leu,53.6,170.0,Belgium,23,Sandu Gym / Sor Dechapan,Kickboxing,Male,Strawweight,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Gilbert Nakatani,61.0,165.0,United States,31,Aragon Training Academy,MMA,Male,Flyweight,0,2,0,0,0,0,0,0,0,0,0,2,0,2
Gingsanglek Wor Kumchamnarn,64.7,165.0,Thailand,24,Tor Laksong Gym,Muay Thai,Male,Bantamweight,1,4,0,0,0,0,0,0,1,0,0,0,0,5
Giorgio “The Doctor” Petrosyan,70.3,178.0,Italy,39,Team Multi Fight Petrosyan,Kickboxing,Male,Featherweight,6,1,1,0,0,0,5,0,0,0,0,0,0,8
Gokhan “The Beast” Boran,66.5,175.0,Turkey,31,WMC Lamai Muaythai,Muay Thai,Male,Featherweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Got Taipetburi,54.4,163.0,Thailand,25,Taipetburi,Muay Thai,Male,Strawweight,1,2,0,0,0,0,0,1,0,0,0,0,0,3
Govind “The Mountain Boy” Singh,61.2,167.0,India,34,Phuket Top Team / Team Mountain Boys,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Grandprixnoi PK Saenchai,-1,170.0,Thailand,18,PK Saenchai Muaythaigym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Gregor Thom,61.4,176.0,Scotland,25,Aberdeen Combat Centre / Kiatsongrit,Muay Thai,Male,Bantamweight,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Gui Yan Zhao,62.6,175.0,China,24,Haoyue Fight Club,MMA,Male,Bantamweight,0,2,0,0,0,0,0,0,0,1,0,0,0,2
Guilherme “Jab” Antunes,-1,170.0,Brazil,30,Phuket Fight Club,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Gurdarshan “Saint Lion” Mangat,61.0,170.0,Canada / India,38,10th Planet Las Vegas / Xtreme Couture,MMA,Male,Flyweight,4,1,0,0,0,0,2,1,0,1,0,0,0,5
Gusjung Fairtex,-1,164.0,Thailand,19,0,Muay Thai,Male,Out of range,0,2,1,0,0,0,0,0,1,0,0,0,0,3
Guto Inocente,118.3,191.0,Brazil,39,Real Combat Technique,Kickboxing,Male,Heavyweight,2,2,0,1,0,0,0,0,1,0,0,1,0,4
Gwanwoo “The Giant” Lim,-1,188.0,South Korea,23,Extreme Combat,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Hakim Bah,66.5,178.0,France / Morocco,28,Singto Gym / Sor Dechapan,Muay Thai,Male,Featherweight,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Hakim Hamech,61.2,170.0,France,32,Team NAS-R.K.,Muay Thai,Male,Flyweight,1,1,0,0,0,0,0,0,0,0,0,0,1,2
Halil “No Mercy” Amir,70.0,181.0,Turkey,30,1,MMA,Male,Featherweight,3,2,0,1,0,0,1,0,0,0,0,1,0,5
Halil Kutukcu,-1,178.0,Netherlands / Turkey,32,Tiger Muay Thai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Han Zi Hao,65.7,176.0,China,29,Mad Muay Thai Gym / Shunyuan Fight Club,Muay Thai,Male,Bantamweight,7,7,0,1,0,0,3,0,1,0,0,5,1,14
Hannah Brady,-1,164.0,United Kingdom,36,Kiatphontip UK,Muay Thai,Male,Out of range,1,1,0,0,0,0,0,0,0,0,0,1,0,2
Hao Da Peng,65.8,175.0,China,27,ET Club,MMA,Male,Featherweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Hao Shuai,-1,165.0,China,18,Sathian MuayThai,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Haodong Jitmuangnon,-1,171.0,Thailand,26,Jitmuangnon Gym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Harlysson “Tuxaua” Nunes,65.3,176.0,Brazil,23,Phuket Fight Club,MMA,Male,Bantamweight,1,1,0,1,0,0,0,0,1,0,0,0,0,2
Haruto Yasumoto,-1,175.0,Japan,25,Hashimoto Dojo,Kickboxing,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Haruyuki Tanitsu,53.6,167.0,Japan,22,Sinkou MueTai,Muay Thai,Male,Strawweight,4,0,0,1,0,0,1,0,0,0,0,0,0,4
Hassan Vahdanirad,-1,184.0,Iran,28,Cyrus,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Hercules Wor Chakrawut,-1,183.0,Thailand,22,Petseemuan Gym,Muay Thai,Male,Out of range,2,0,0,0,0,0,1,1,0,0,0,0,0,2
Hern NF Looksuan,-1,164.0,Thailand,22,NF Looksuan,Muay Thai,Male,Out of range,3,0,0,0,0,0,1,0,0,0,0,0,0,3
“Wolf of the Grasslands” Hexigetu,56.7,163.0,China,40,China Top Team,MMA,Male,Flyweight,3,2,0,0,0,0,2,1,0,1,0,1,0,5
Hidenari Saijo,-1,175.0,Japan,29,The Black Belt Japan,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Hikaru Furumura,57.7,170.0,Japan,24,Furumura Gym,Muay Thai,Male,Flyweight,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Hikaru “The Painter” Yoshino,65.8,166.0,Japan,29,Paraestra Tokyo Bay,MMA,Male,Featherweight,1,1,0,0,0,0,1,0,0,0,0,0,1,2
Hinlekfai Samchaiwisetsuk,-1,160.0,Thailand,16,Samchaiwisetsuk,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Hiroba Minowa,56.6,160.0,Japan,25,STF,MMA,Male,Strawweight,3,3,0,0,0,0,0,3,0,0,0,2,1,6
Hiroki Akimoto,65.8,170.0,Japan,32,Evolve MMA,Kickboxing,Male,Featherweight,7,4,0,0,0,0,5,2,0,0,0,2,1,11
Hiroki Kasahara,64.2,175.0,Japan,25,Caesar Gym,Muay Thai,Male,Bantamweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Hiroki Naruo,61.0,173.0,Japan,22,Kyudo Kaikan,Kickboxing,Male,Flyweight,3,0,0,3,0,0,0,0,0,0,0,0,0,3
Hiroki Suzuki,-1,175.0,Japan,28,Cross Point Kichijoji,Kickboxing,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Hiroto Masuda,56.2,165.0,Japan,28,Master Japan,MMA,Male,Strawweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Hiroto Sameshima,57.7,171.0,Japan,27,Weerasackreck MuayThai Gym,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Hiroyasu Sakurai,70.3,176.0,Japan,31,Team Never Quit,MMA,Male,Featherweight,1,1,0,0,0,0,0,1,0,0,0,1,0,2
Hiroyuki,54.9,167.0,Japan,29,RIKIX,Muay Thai,Male,Strawweight,1,2,0,0,0,0,0,0,1,0,0,1,0,3
Hiroyuki Ihara,68.7,180.0,Japan,41,Hades Workout Gym,Muay Thai,Male,Featherweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Hiroyuki “Japanese Beast” Tetsuka,83.9,168.0,Japan,35,Yamada Dojo-TGFC,MMA,Male,Welterweight,6,3,0,1,3,0,1,0,1,0,0,2,0,9
Hiryu Niwa,-1,167.0,Japan,23,Art of Jiu-Jitsu Academy,Submission Grappling,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Honorio “The Rock” Banario,77.1,177.0,Philippines,35,Lions Nation MMA,MMA,Male,Lightweight,9,9,0,2,1,0,3,2,1,4,0,2,0,18
Hu Bin Qian,65.8,171.0,China,26,Changsha Ruige Muay Thai Gym,Muay Thai,Male,Featherweight,0,2,0,0,0,0,0,0,0,0,0,2,0,2
“Pretty Boy” Hu Li Zong,68.0,178.0,China,28,Freeman,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
“Wild Wolf King” Hu Si Le,77.1,175.0,China,30,Daqin Martial Arts MMA Club,MMA,Male,Lightweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Hu Ye,56.4,168.0,China,21,Mango Muay Thai,Kickboxing,Male,Strawweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
“Wolf Warrior” Hu Yong,60.8,168.0,China,29,Fighting Bros Club,MMA,Male,Flyweight,8,2,0,2,0,1,3,1,0,0,0,1,1,10
“Silent Wargod” Huang Shuai Lu,61.2,174.0,China,25,White Shark Fight Club,Kickboxing,Male,Flyweight,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Huang Yan Chuan,58.5,172.0,China,29,Beijing Ningguangyou Combat and Fitness Club,MMA,Male,Flyweight,1,1,0,0,1,0,0,0,0,0,0,0,0,2
Huo Xiaolong,56.5,170.0,China,30,Xuchang Chunyang Boji club,Kickboxing,Male,Strawweight,3,3,0,0,0,0,1,0,0,0,0,3,0,6
Hussein Salem,-1,-1.0,Iraq,1,0,MMA,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
“The Hu Wolf” Huyixibai,65.8,170.0,China,31,Warrior Fight Club,MMA,Male,Featherweight,1,1,0,0,0,0,1,0,0,0,1,0,0,2
Hyu,69.0,-1.0,Japan,23,Team Mehdi Zatout / TEAM3K,Kickboxing,Male,Featherweight,3,0,0,1,0,0,1,0,0,0,0,0,0,3
Hyun jin “The Lion” Lee,70.3,182.0,South Korea,37,Ssen Gym,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Ibragim Abdulmedzhidov,62.1,175.0,Russia,30,Sham Fighter,Muay Thai,Male,Bantamweight,2,1,0,0,0,0,0,0,1,0,0,0,0,3
